x,beam
0.0021141,0.1052
0.004831,0.08733
0.011464,0.07815
0.024304,0.07258
0.0478,0.06998
0.11344,0.07007
0.21488,0.06756
0.21536,0.23268
0.22393,0.5112
0.1184,1.2091
0.06258,2.462
0.034347,5.013
0.01957,9.472
0.011576,17.238
0.007381,29.11
0.004366,51.03
0.0030008,79.96
0.0021409,107.86

x,barbar
0.21955,9388
0.22766,4606
0.22726,1738.6
0.22689,707.3
0.22638,205.37
0.24325,33.993
0.2253,14.904
0.4605,24.285
1.1358,39.581
2.5022,55.52
3.3843,117.53
3.944,526.3
3.5285,1156
5.982,3182.1
8.728,9439

x,edelweiss
7.333e-05,9277
7.59e-05,1718.2
7.282e-05,202.94
6.726e-05,19.874
7.224e-05,2.5305
6.686e-05,0.7076
5.519e-05,0.08676
3.7747e-05,0.008816
3.1182e-05,0.0015144
2.1337e-05,0.0002077
1.5767e-05,7.27e-05
7.163e-06,8.126e-05
3.7778e-06,4.804e-05
9.765e-07,4.618e-05
1.3837e-07,4.781e-05
2.7498e-08,5.14e-05
6.592e-09,4.415e-05
1.007e-09,4.746e-05
