ep	neutron	proton	pim	pip	kaon0L	sigma0	kaon0S	kaonP	pi0	mum
112201.8454	915247.3109	41983.33391	5573.831635	5285.388593	59.3030354	0	10.26924373	30.52216843	0.5101434415	36.76077133
109260.0861	822971.1585	43113.70885	7465.809826	5011.872336	54.7597603	0	4.161316699	24.67787115	0.5101434415	43.11370885
98244.37458	683306.2366	38766.94146	4506.570338	4752.510411	53.32404385	0	9.233888272	26.72533003	0.5238787339	26.0246331
93160.27658	523878.7339	34858.41952	15709.19194	4052.213394	46.6907413	0	6.19880097	14.50569232	0.5379838403	98.24437458
86023.15853	351685.0007	28183.82931	3190.407473	2945.986614	30.52216843	0	7.270067808	14.896249	0.5238787339	14.896249
79432.82347	201301.1027	18424.02929	3190.407473	1977.670094	26.72533003	0	4.052213394	7.270067808	0.5101434415	13.39439422
75322.21398	95668.55862	11728.18396	2868.74739	1131.999288	10.26924373	0	3.10675991	8.991789965	1.045275495	11.72818396
67728.15277	36760.77133	6365.6998	4880.468774	582.6189623	3.10675991	0	2.030917621	0	3.190407473	33.05451348
64223.25422	11121.25621	3455.107295	1778.27941	229.8997302	0.5101434415	0	0	0	10.54573668	0.5238787339
59303.0354	2381.897546	2141.752245	19429.49615	86.02315853	3.10675991	0	0	0	13.39439422	124.782547
54759.7603	292.001186	1778.27941	2648.969288	18.92008473	0	0	0	0	16.56650017	0.5238787339
49238.82632	41.98333391	1875.32664	4052.213394	6.3656998	0	0	0	0	33.94448553	7.079457844
45466.58209	11.12125621	2199.417581	4388.415015	3.10675991	0	0	0	0	53.32404385	14.896249
41983.33391	7.270067808	1875.32664	5573.831635	0	0	0	0	0	53.32404385	24.03085543
37750.53205	4.052213394	915.2473109	567.3435918	0	0	0	0	0	106.3954552	0
33054.51348	2.085598805	262.5613334	46.6907413	0	0	0	0	0	154.3339738	0
29721.92426	0.5101434415	31.34395868	10.26924373	0	0	0	0	0	242.4462017	0
26725.33003	0.4967682674	6.3656998	0	0	0	0	0	0	370.8777412	0
24030.85543	0.5101434415	0.5238787339	0	0	0	0	0	0	647.9454754	0
21041.51098	0.5101434415	0.5101434415	0	0	0	0	0	0	939.8897709	0
18424.02929	0.4967682674	0.5101434415	0	0	0	0	0	0	1363.375184	0
15709.19194	0.5101434415	0.5238787339	0	0	0	0	0	0	1925.818634	0
13755.02989	0.5238787339	0.5238787339	0	0	0	1.045275495	0	0	2579.517399	0
11728.18396	0.5238787339	0.5238787339	0	0	0	2.085598805	0	0	3106.75991	0
9737.815425	0.5238787339	0.5238787339	0	0	0	6.19880097	0	0	4052.213394	0
8526.469262	0.5101434415	0.5238787339	0	0	0	15.29732116	0	0	4880.468774	0
7079.457844	0.4967682674	0.5101434415	0	0	0	21.60804047	0	0	5723.903558	0
5878.016072	4.161316699	88.33927815	5.146813857	8.085228677	46.6907413	37.75053205	0	0	6713.099387	0
4880.468774	0.5101434415	0.5238787339	0	0	0	33.94448553	0	0	7666.822075	0
4052.213394	0.5238787339	1.045275495	0	0	0	22.18982341	0	0	8302.91839	0
3276.307194	0.5238787339	1.017869984	0	0	0	20.48983502	0	0	8526.469262	0
2648.969288	0.5379838403	0.5238787339	0	0	0	10.26924373	0	0	8526.469262	0
2141.752245	0.5101434415	3.10675991	0	0	0	10.26924373	0	0	8526.469262	0
1686.254326	0.5238787339	1.017869984	0	0	0	5.285388593	0	0	8085.228677	0
1225.918329	0.5101434415	5.146813857	0	0	0	17.47059485	0	0	7079.457844	0
965.1957137	0.5101434415	39.81071706	0	0	0	12.70124092	0	0	6365.6998	0
720.5967643	0.5101434415	54.7597603	0	0	0	15.29732116	0	0	4752.510411	0
567.3435918	0.5101434415	30.52216843	0	0	0	18.42402929	0	0	3842.513346	0
434.9722374	0.5238787339	12.04395796	0	0	0	17.47059485	0	0	3276.307194	0
292.001186	0.5238787339	2.085598805	0	0	0	16.56650017	0	0	2945.986614	0
229.8997302	0.5238787339	2.085598805	0	0	0	11.12125621	0	0	2648.969288	0
128.1422389	0.5238787339	0.5379838403	0	0	0	5.146813857	0	0	2141.752245	0
106.3954552	0.5238787339	0.5379838403	0	0	0	9.233888272	0	0	1642.043339	0
51.92596968	0.4967682674	2.141752245	0	0	0	4.161316699	0	0	1327.629589	0
35.79696061	0.5238787339	0.5238787339	0	0	0	4.161316699	0	0	1073.418883	0
16.56650017	0.5238787339	0.5101434415	0	0	0	1.045275495	0	0	801.3941242	0
